space,bin,lower_edge,upper_edge
H-R,1,3000.0,3100.0
H-R,2,3100.0,3200.0
H-R,3,3200.0,3300.0
H-R,4,3300.0,3400.0
H-R,5,3400.0,3500.0
H-R,6,3500.0,3600.0
F070W-F200W,1,3.1003265928108252,3.2356214373545127
F070W-F200W,2,3.2356214373545127,3.3709162818982
F070W-F200W,3,3.3709162818982,3.5062111264418876
F070W-F200W,4,3.5062111264418876,3.641505970985575
F070W-F200W,5,3.641505970985575,3.7768008155292625
F070W-F200W,6,3.7768008155292625,3.91209566007295
F182M-F200W,1,0.021726922300347135,0.027169776115802013
F182M-F200W,2,0.027169776115802013,0.03261262993125689
F182M-F200W,3,0.03261262993125689,0.03805548374671176
F182M-F200W,4,0.03805548374671176,0.043498337562166645
F182M-F200W,5,0.043498337562166645,0.048941191377621526
F182M-F200W,6,0.048941191377621526,0.0543840451930764
