grid,filename,log_age,status,original_rows,added_rows,final_rows,original_min_mass,added_min_mass,added_max_mass,final_min_mass,final_max_mass,boundary_logt_jump,boundary_logl_jump,boundary_logg_jump,message
z015_norot,iso_6.00.dat,6.0,updated,1171,7,1178,0.07,0.01,0.06,0.01,500.0,0.0048269863641823285,0.11290194918203755,-0.027401949182037644,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.01.dat,6.01,updated,1063,7,1070,0.07,0.01,0.06,0.01,500.0,0.005000937249824311,0.11492545839209933,-0.028525458392099523,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.02.dat,6.02,updated,1063,7,1070,0.07,0.01,0.06,0.01,500.0,0.005075373696591168,0.11676790277901694,-0.02946790277901723,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.03.dat,6.03,updated,1063,7,1070,0.07,0.01,0.06,0.01,500.0,0.005075373696591168,0.11827408279735296,-0.030274082797352886,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.04.dat,6.04,updated,1063,7,1070,0.07,0.01,0.06,0.01,500.0,0.005175373696590935,0.11911513006709962,-0.031115130067099983,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.05.dat,6.05,updated,1063,7,1070,0.07,0.01,0.06,0.01,500.0,0.005275373696591146,0.1202936170212745,-0.032293617021274645,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.06.dat,6.06,updated,1063,7,1070,0.07,0.01,0.06,0.01,500.0,0.005214145863016384,0.12120788550848105,-0.033207885508481194,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.07.dat,6.07,updated,1063,7,1070,0.07,0.01,0.06,0.01,500.0,0.0051238139386744486,0.12181475346687054,-0.03377213020030556,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.08.dat,6.08,updated,1063,7,1070,0.07,0.01,0.06,0.01,500.0,0.0051238139386744486,0.12245126749534907,-0.034551267495349425,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.09.dat,6.09,updated,1063,7,1070,0.07,0.01,0.06,0.01,500.0,0.0051238139386744486,0.12281884389612796,-0.03510942194806388,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.10.dat,6.1,updated,1063,7,1070,0.07,0.01,0.06,0.01,500.0,0.0051238139386744486,0.12322010541528372,-0.0351201054152841,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.11.dat,6.11,updated,1063,7,1070,0.07,0.01,0.06,0.01,500.0,0.0051238139386744486,0.12398908666471997,-0.03548362999707999,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.12.dat,6.12,updated,1063,7,1070,0.07,0.01,0.06,0.01,500.0,0.0051238139386744486,0.12454808870732292,-0.036372133060984524,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.13.dat,6.13,updated,1063,7,1070,0.07,0.01,0.06,0.01,500.0,0.0052238139386742155,0.1248546455306021,-0.03685464553060225,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.14.dat,6.14,updated,1063,7,1070,0.07,0.01,0.06,0.01,500.0,0.0052238139386742155,0.12498443584010377,-0.03708443584010368,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.15.dat,6.15,updated,1063,7,1070,0.07,0.01,0.06,0.01,500.0,0.0052238139386742155,0.12447512679282213,-0.037075126792821766,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.16.dat,6.16,updated,1280,7,1287,0.07,0.01,0.06,0.01,500.0,0.005199649398906381,0.12427841384556726,-0.037078413845567315,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.17.dat,6.17,updated,1280,7,1287,0.07,0.01,0.06,0.01,500.0,0.005127610449989106,0.12510481171547982,-0.03740481171547971,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.18.dat,6.18,updated,1280,7,1287,0.07,0.01,0.06,0.01,500.0,0.005072307053515246,0.12551796676992288,-0.03751796676992303,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.19.dat,6.19,updated,1280,7,1287,0.07,0.01,0.06,0.01,500.0,0.005072307053515246,0.12515666948277393,-0.03715666948277363,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.20.dat,6.2,updated,1280,7,1287,0.07,0.01,0.06,0.01,500.0,0.005072307053515246,0.12480390141637154,-0.03680390141637124,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.21.dat,6.21,updated,1280,7,1287,0.07,0.01,0.06,0.01,500.0,0.005072307053515246,0.12442655315232276,-0.03642655315232268,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.22.dat,6.22,updated,1280,7,1287,0.07,0.01,0.06,0.01,500.0,0.005072307053515246,0.12396146525010954,-0.03606146525010967,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.23.dat,6.23,updated,1280,7,1287,0.07,0.01,0.06,0.01,500.0,0.005072307053515246,0.1235681496237262,-0.03646814962372602,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.24.dat,6.24,updated,1280,7,1287,0.07,0.01,0.06,0.01,500.0,0.005072307053515246,0.1238033343256908,-0.03620333432569112,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.25.dat,6.25,updated,1280,7,1287,0.07,0.01,0.06,0.01,500.0,0.005172307053515457,0.12369416493003738,-0.03569416493003752,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.26.dat,6.26,updated,1280,7,1287,0.07,0.01,0.06,0.01,500.0,0.005272307053515224,0.12314108452950423,-0.03514108452950415,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.27.dat,6.27,updated,1280,7,1287,0.07,0.01,0.06,0.01,500.0,0.005272307053515224,0.12292497444633566,-0.0349249744463358,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.28.dat,6.28,updated,1280,7,1287,0.07,0.01,0.06,0.01,500.0,0.005272307053515224,0.1230878364565573,-0.03508783645655722,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.29.dat,6.29,updated,1280,7,1287,0.07,0.01,0.06,0.01,500.0,0.005272307053515224,0.12205284387695792,-0.034505687753915826,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.30.dat,6.3,updated,1323,7,1330,0.07,0.01,0.06,0.01,500.0,0.005272307053515224,0.12117888246627939,-0.03397888246627945,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.31.dat,6.31,updated,1599,7,1606,0.07,0.01,0.06,0.01,500.0,0.005272307053515224,0.12122030828516173,-0.03352030828516206,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.32.dat,6.32,updated,1876,7,1883,0.07,0.01,0.06,0.01,500.0,0.005154981846325679,0.12044925665740691,-0.03267462832870338,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.33.dat,6.33,updated,2152,7,2159,0.07,0.01,0.06,0.01,500.0,0.005120853004237258,0.12055146906325387,-0.03175146906325388,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.34.dat,6.34,updated,2399,7,2406,0.07,0.01,0.06,0.01,500.0,0.005220853004237469,0.11941733893046069,-0.03173467786092132,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.35.dat,6.35,updated,2630,7,2637,0.07,0.01,0.06,0.01,500.0,0.005220853004237469,0.11880648451029185,-0.030806484510291554,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.36.dat,6.36,updated,2861,7,2868,0.07,0.01,0.06,0.01,500.0,0.005220853004237469,0.11787477203647123,-0.030437386018235646,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.37.dat,6.37,updated,2822,7,2829,0.07,0.01,0.06,0.01,438.182,0.005220853004237469,0.11717368981678589,-0.028647379633572,Prepended 7 Baraffe rows below 0.070000 Msun.
z015_norot,iso_6.38.dat,6.38,updated,2649,7,2656,0.07,0.01,0.06,0.01,364.73,0.005220853004237469,0.11643240067151339,-0.028432400671513314,Prepended 7 Baraffe rows below 0.070000 Msun.
