index,file_lineno,best_mass,best_AV,mass_min,mass_max,AV_min,AV_max,intersects,min_chi2,chi2_threshold,dof_gof,passes_gof,p_value,true_AV,true_mass
0,2,0.07363636363636364,12.173206199553432,0.045454545454545456,0.11545454545454545,6.97320619955345,16.973206199553413,True,0.0023324905530802626,11.620618471181134,0,,,10.5382,0.056206
1,3,0.19181818181818186,10.411803300453398,0.15181818181818182,0.2545454545454545,7.811803300453408,12.411803300453393,True,0.008259068949084911,11.626545049577134,0,,,9.3431,0.171107
2,4,0.02363636363636364,4.800000000000002,0.018636363636363642,0.03,2.4000000000000004,7.5,True,0.07731659615855915,11.695602576786609,0,,,4.31918,0.020454
3,5,0.11727272727272728,9.198669196533617,0.09272727272727273,0.1390909090909091,6.498669196533627,11.598669196533608,False,0.015346745758435552,11.633632726386487,0,,,6.74386,0.085403
4,6,0.16454545454545455,8.413133506030668,0.1190909090909091,0.24545454545454545,3.8131335060306646,11.613133506030671,True,0.0009998318038169354,11.619285812431867,0,,,6.40226,0.147953
5,7,0.24545454545454545,16.703231391783234,0.16818181818181818,0.3272727272727273,14.003231391783245,19.103231391783225,True,0.04274186462418705,11.66102784525224,0,,,17.3093,0.20703
6,8,0.34545454545454546,22.74111534292461,0.2818181818181818,0.44545454545454544,21.041115342924584,24.941115342924643,False,0.03804557777818055,11.656331558406231,0,,,25.4049,0.353775
8,10,0.07036363636363636,15.622913566249974,0.05090909090909091,0.09090909090909093,11.92291356624999,18.62291356624997,True,0.074120560248242,11.692406540876293,0,,,14.277,0.053173
9,11,0.4,5.460827426923667,0.2818181818181818,0.7090909090909091,2.260827426923668,9.960827426923663,True,0.01774984931369953,11.636035829941749,0,,,5.86181,0.398091
11,13,0.3363636363636364,6.1724076338185405,0.2818181818181818,0.4090909090909091,4.6724076338185405,7.972407633818543,True,0.02518775370559534,11.643473734333648,0,,,6.47402,0.321926
12,14,0.0981818181818182,21.23741206218393,0.0609090909090909,0.13727272727272727,16.037412062183858,25.737412062184,True,0.02009977923128591,11.638385759859338,0,,,20.0599,0.070333
13,15,0.02090909090909091,17.369285480560457,0.014545454545454544,0.031818181818181815,13.56928548056047,21.96928548056044,True,0.004168285616580605,11.622454266244633,0,,,18.585,0.01878
14,16,0.1890909090909091,9.322346130938277,0.14636363636363636,0.2636363636363636,6.2223461309382895,11.62234613093827,True,0.0005103585361681118,11.618796339164222,0,,,7.98796,0.168693
15,17,0.2181818181818182,10.757113347388144,0.17272727272727273,0.2545454545454545,9.25711334738815,11.957113347388141,True,0.11485849770641887,11.73314447833447,0,,,10.0988,0.185198
16,18,0.3727272727272728,9.409853173742471,0.2909090909090909,0.509090909090909,7.209853173742478,12.109853173742462,True,0.021687125837270664,11.639973106465325,0,,,10.2079,0.366108
17,19,0.2818181818181818,16.92629672669711,0.2272727272727273,0.3545454545454545,15.226296726697116,18.926296726697107,True,0.03780433243602032,11.656090313064071,0,,,18.1528,0.259832
18,20,0.12636363636363634,16.388221759161166,0.1,0.15181818181818182,13.288221759161177,18.888221759161155,False,0.007780985879451902,11.626066966507507,0,,,14.8723,0.097278
20,22,1.2454545454545454,19.845240448064192,0.8545454545454546,1.4,16.845240448064196,21.045240448064185,False,0.02107996919529117,11.639365949823347,0,,,22.9691,1.31329
21,23,0.4,7.878902316761799,0.3363636363636364,0.4909090909090909,6.178902316761798,9.578902316761802,True,0.1926324244961443,11.810918405124195,0,,,8.50713,0.394837
22,24,0.015454545454545453,7.2428924514667825,0.012272727272727272,0.02090909090909091,4.542892451466781,10.242892451466783,True,0.037090709317447686,11.6553766899455,0,,,7.83498,0.01503
23,25,1.1727272727272726,17.526446432627836,0.7272727272727273,1.4,13.826446432627847,19.426446432627827,False,0.005668644088026829,11.62395462471608,0,,,20.2002,1.20782
24,26,0.3363636363636364,10.346402041344028,0.2545454545454545,0.4636363636363636,8.046402041344036,13.046402041344018,True,0.012026757522918466,11.630312738150971,0,,,11.0896,0.322605
25,27,0.4,6.311554851335328,0.3,0.5909090909090908,3.8115548513353255,9.61155485133533,True,0.0008833085258872762,11.619169289153938,0,,,6.78875,0.394081
26,28,0.17272727272727273,15.798500418995971,0.15181818181818182,0.2090909090909091,13.798500418995982,17.198500418995973,True,0.04043185441017039,11.658717835038226,0,,,14.9163,0.158611
27,29,0.13363636363636364,10.992313873567948,0.11363636363636365,0.15363636363636365,8.792313873567956,12.992313873567939,False,0.04671442143549195,11.665000402063544,0,,,8.9241,0.106116
28,30,0.01,10.599509820512937,0.01,0.013181818181818182,9.999509820512936,13.499509820512927,True,0.084473512018961,11.702759492647012,0,,,11.7408,0.010147
29,31,0.3363636363636364,20.60695615942355,0.2727272727272727,0.44545454545454544,18.706956159423523,23.006956159423584,True,0.12794777935306315,11.746233759981115,0,,,22.939,0.342464
30,32,0.3090909090909091,4.8880988415226465,0.16818181818181818,0.6363636363636364,0.4880988415226468,10.288098841522645,True,0.0070289022289008705,11.625314882856953,0,,,4.9614,0.293764
32,34,0.02363636363636364,16.085031003006133,0.01590909090909091,0.034545454545454546,12.18503100300615,19.98503100300612,True,0.011679909907234658,11.629965890535289,0,,,16.5894,0.019871
33,35,0.4,2.6,0.2363636363636364,0.9454545454545454,0.0,7.7,True,0.0011222702818555904,11.619408250909908,0,,,2.62726,0.39264
34,36,0.019545454545454543,10.474720951017476,0.01090909090909091,0.03545454545454545,5.374720951017494,15.37472095101746,True,0.005447315065003778,11.623733295693054,0,,,10.8478,0.017711
35,37,0.011818181818181818,6.670933221428228,0.01,0.014090909090909091,4.9709332214282265,8.770933221428232,True,0.02111670535700892,11.63940268598506,0,,,7.44862,0.01187
36,38,0.13727272727272727,14.040276843151355,0.11545454545454545,0.15545454545454546,11.740276843151364,15.840276843151347,False,0.06858479038738154,11.686870771015437,0,,,12.2681,0.109643
37,39,0.1863636363636364,22.672920644152192,0.15,0.2363636363636364,19.972920644152147,24.572920644152216,True,0.09000976241077073,11.708295743038823,0,,,22.8605,0.167637
40,42,0.027272727272727268,11.748463276434924,0.02,0.03818181818181818,8.548463276434937,15.048463276434916,True,0.004089600741044138,11.622375581369095,0,,,11.7529,0.023358
41,43,0.12090909090909092,10.639280115746176,0.07418181818181817,0.17272727272727273,5.539280115746193,15.539280115746156,True,0.018309963875521498,11.636595944503574,0,,,8.43351,0.089676
42,44,0.1390909090909091,5.925057042568983,0.1190909090909091,0.16090909090909092,3.825057042568981,8.025057042568985,False,0.01845948429630129,11.636745464924353,0,,,3.3925,0.114438
43,45,0.1572727272727273,9.479689928442946,0.11181818181818183,0.2272727272727273,4.679689928442963,12.779689928442936,True,0.010786485555528856,11.62907246618358,0,,,7.35146,0.135785
44,46,0.02090909090909091,10.29103761154129,0.014545454545454544,0.029090909090909087,6.491037611541302,13.991037611541277,True,0.013081684488716714,11.631367665116768,0,,,10.478,0.018535
45,47,0.1190909090909091,16.672155653625946,0.09363636363636364,0.14272727272727273,13.772155653625955,19.272155653625934,False,0.03192394093979034,11.650209921567845,0,,,15.0886,0.087852
46,48,0.15545454545454546,7.7993412188506905,0.13363636363636364,0.1809090909090909,5.599341218850689,9.699341218850694,False,0.0025882763530930505,11.620874256981145,0,,,5.56832,0.134795
47,49,0.027272727272727268,8.954940218880003,0.02090909090909091,0.03818181818181818,6.154940218880012,12.354940218879989,True,0.06605926825473253,11.684345248882785,0,,,8.92927,0.024008
48,50,0.2272727272727273,11.349574448965162,0.16090909090909092,0.3272727272727273,8.449574448965175,14.149574448965154,True,0.012949655711792452,11.631235636339845,0,,,11.3775,0.195263
49,51,0.049090909090909095,12.090773110188758,0.037272727272727284,0.06545454545454546,8.99077311018877,15.190773110188749,True,0.049046012810405167,11.667331993438456,0,,,11.3536,0.040398
